"filename";"caption";"date1";"date2";"date";"date3";"agent";"role";"agent2";"role2";"copyright";"source";"empty_column";"notes";"mon_id";"class_code";"classification";"agent3";"date_scan";"license";"url";"rights_text";"heidata";"heidoc"
"ACH0071_P_20220421_03";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 2, view from NW";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0071";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0071_P_20220421_02";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 2, view from E";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0071";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0071_P_20220421_04";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 2, view from N";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0071";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0071_P_20220421_01";"{'en': {'direction': 'ltr', 'value': '\n\n'}}, {'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 2, view from NE";"";"";"";"";"";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0071";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0070_P_20220421_05-2";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 1, view from NW";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0070";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0070_P_20220421_10-2";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 1, ceiling, view from NW";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0070";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0070_P_20220421_07-2";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 1, view from SE";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0070";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0070_P_20220421_06-2";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 1, view from NE";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0070";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0070_P_20220421_09-2";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 1, sanctum, view from NW";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0070";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0071_D_2022_floor_plan";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 1, floor plan";"";"";"";"";"";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0070";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0070_P_20220421_08-2";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 1, view from SW";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0070";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0070_H_1968_01";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 1, view from NE";"";"";"";"";"1264428";"photographer";"";"";"";"";"";"";"ACH0070";"4002855-0";"Architekturfotografie";"";"";"Free access - no reuse";"";"";"";""
"ACH0071_D_2022_location_map";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 1, location map";"";"";"";"";"";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0070";"4029783-4";"Karte";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0071_D_2022_site_plan";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 1, site plan";"";"";"";"";"";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0070";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0070_P_20220421_03-2";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 1, view from NW";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0070";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0070_H_1968_02";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 1, view from SE";"";"";"";"";"1264428";"photographer";"";"";"";"";"";"";"ACH0070";"4002855-0";"Architekturfotografie";"";"";"Free access - no reuse";"";"";"";""
"ACH0070_H_1968_03";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 1, view from NW";"";"";"";"";"1264428";"photographer";"";"";"";"";"";"";"ACH0070";"4002855-0";"Architekturfotografie";"";"";"Free access - no reuse";"";"";"";""
"ACH0070_P_20220421_02";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 1, view from E";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0070";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
